Total nodes: 1000            Security parameter: 30              Total Byzantine ratio: 25             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          486            1-2^(30)       
RapidChain     33.3%          49%            49%            247            1-2^(30)       
AHL            30%            49%            49%            182            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          102            1-2^(30)       
RIVET          33.3%          49%            49%            247            1-2^(30)       
CoChain        33.3%          66%            66%            73             0.646204353368474
 
GEARBOX        25%            99%            0%             15             0.012898672046031599
GEARBOX        25%            97%            1%             15             0.07861880815013282
GEARBOX        25%            95%            2%             15             0.07861880815013282
GEARBOX        25%            93%            3%             18             0.03822031726234728
GEARBOX        25%            91%            4%             18             0.03822031726234728
GEARBOX        25%            89%            5%             18             0.03822031726234728
GEARBOX        25%            87%            6%             21             0.0724094299171723
GEARBOX        25%            85%            7%             23             0.04736143924957918
GEARBOX        25%            83%            8%             23             0.04736143924957918
GEARBOX        25%            81%            9%             25             0.09337825706935955
GEARBOX        25%            79%            10%            27             0.06402585161505317
GEARBOX        25%            77%            11%            29             0.111804369087796
GEARBOX        25%            75%            12%            31             0.07946922109107095
GEARBOX        25%            73%            13%            33             0.12802456817741756
GEARBOX        25%            71%            14%            37             0.1423777790929352
GEARBOX        25%            69%            15%            41             0.1551584958745293
GEARBOX        25%            67%            16%            44             0.1882244242171937
GEARBOX        25%            65%            17%            48             0.19854985617800106
GEARBOX        25%            63%            18%            51             0.2311127244892709
GEARBOX        25%            61%            19%            58             0.27093814619640605
GEARBOX        25%            59%            20%            63             0.25343452347904855
GEARBOX        25%            57%            21%            72             0.34216650405633486
GEARBOX        25%            55%            22%            80             0.3492253262646848
GEARBOX        25%            53%            23%            89             0.43050774468237196
GEARBOX        25%            51%            24%            100            0.457992680215707
GEARBOX        25%            49%            25%            117            0.6168439577157923
GEARBOX        25%            47%            26%            132            0.7083506016491949
GEARBOX        25%            45%            27%            156            0.8180176895081868
GEARBOX        25%            43%            28%            184            0.8888921431150765
GEARBOX        25%            41%            29%            220            0.9516986014925259
GEARBOX        25%            39%            30%            267            0.9919727892543954
GEARBOX        25%            37%            31%            328            0.999199357859912
GEARBOX        25%            35%            32%            403            0.9999895095018493
GEARBOX        25%            33%            33%            510            0.9999999997010192
 
 
ARETE          25%            99%            0%             15             0.012898672046031599
ARETE          25%            98%            1%             15             0.07861880815013282
ARETE          25%            97%            2%             15             0.07861880815013282
ARETE          25%            96%            3%             15             0.07861880815013282
ARETE          25%            95%            4%             15             0.07861880815013282
ARETE          25%            94%            5%             15             0.07861880815013282
ARETE          25%            93%            6%             18             0.1329919318706237
ARETE          25%            92%            7%             18             0.1329919318706237
ARETE          25%            91%            8%             18             0.1329919318706237
ARETE          25%            90%            9%             18             0.1329919318706237
ARETE          25%            89%            10%            18             0.1329919318706237
ARETE          25%            88%            11%            21             0.18884445320198676
ARETE          25%            87%            12%            21             0.18884445320198676
ARETE          25%            86%            13%            21             0.18884445320198676
ARETE          25%            85%            14%            23             0.2803977533748524
ARETE          25%            84%            15%            23             0.2803977533748524
ARETE          25%            83%            16%            23             0.2803977533748524
ARETE          25%            82%            17%            25             0.37605076975553897
ARETE          25%            81%            18%            25             0.37605076975553897
ARETE          25%            80%            19%            25             0.37605076975553897
ARETE          25%            79%            20%            27             0.46960874209825654
ARETE          25%            78%            21%            27             0.46960874209825654
ARETE          25%            77%            22%            29             0.5567783957385904
ARETE          25%            76%            23%            29             0.5567783957385904
ARETE          25%            75%            24%            31             0.6350420052647585
ARETE          25%            74%            25%            33             0.7032978929304464
ARETE          25%            73%            26%            33             0.7032978929304464
ARETE          25%            72%            27%            35             0.7614550993875385
ARETE          25%            71%            28%            37             0.810072904995143
ARETE          25%            70%            29%            39             0.8500775525171024
ARETE          25%            69%            30%            41             0.8825581288861253
ARETE          25%            68%            31%            43             0.9086302996561907
ARETE          25%            67%            32%            44             0.9416783597570297
ARETE          25%            66%            33%            44             0.9416783597570297
ARETE          25%            65%            34%            48             0.9662415257882809
ARETE          25%            64%            35%            50             0.9744860105168436
ARETE          25%            63%            36%            51             0.9847917434589174
ARETE          25%            62%            37%            55             0.9915808283440826
ARETE          25%            61%            38%            58             0.9964785357882052
ARETE          25%            60%            39%            60             0.997419239455092
ARETE          25%            59%            40%            63             0.998974100980074
ARETE          25%            58%            41%            68             0.9992725379429724
ARETE          25%            57%            42%            72             0.9998544517988107
ARETE          25%            56%            43%            75             0.9999470964042897
ARETE          25%            55%            44%            80             0.9999867935787434
ARETE          25%            54%            45%            84             0.999993435740865
ARETE          25%            53%            46%            89             0.9999984462260861
ARETE          25%            52%            47%            97             0.9999998866202069
ARETE          25%            51%            48%            100            0.9999999645481927
ARETE          25%            50%            49%            106            0.9999999967445742
