Total nodes: 100000          Security parameter: 30              Total Byzantine ratio: 25             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          1017           1-2^(30)       
RapidChain     33.3%          49%            49%            341            1-2^(30)       
AHL            30%            49%            49%            227            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          120            1-2^(30)       
RIVET          33.3%          49%            49%            341            1-2^(30)       
CoChain        33.3%          66%            66%            79             0.6383189154887998
 
Beacon/Order   25%            33.3%          33.3%          1017           1-2^(30)       
 
GEARBOX        25%            99%            0%             15             0.013358784089852818
GEARBOX        25%            97%            1%             15             0.08016517506543236
GEARBOX        25%            95%            2%             15             0.08016517506543236
GEARBOX        25%            93%            3%             18             0.03945151167678144
GEARBOX        25%            91%            4%             18             0.03945151167678144
GEARBOX        25%            89%            5%             18             0.03945151167678144
GEARBOX        25%            87%            6%             21             0.07450239147841618
GEARBOX        25%            85%            7%             23             0.04918490710635873
GEARBOX        25%            83%            8%             23             0.04918490710635873
GEARBOX        25%            81%            9%             26             0.08016060057775809
GEARBOX        25%            79%            10%            28             0.05511149110105806
GEARBOX        25%            77%            11%            30             0.09783556045401785
GEARBOX        25%            75%            12%            32             0.06972617052305417
GEARBOX        25%            73%            13%            36             0.08342833090478359
GEARBOX        25%            71%            14%            40             0.09617958117611349
GEARBOX        25%            69%            15%            43             0.12364020502065814
GEARBOX        25%            67%            16%            45             0.17247254446344662
GEARBOX        25%            65%            17%            51             0.14559788974903348
GEARBOX        25%            63%            18%            54             0.17346575819584711
GEARBOX        25%            61%            19%            61             0.21048703060884036
GEARBOX        25%            59%            20%            68             0.24576029709812647
GEARBOX        25%            57%            21%            78             0.3061904510207435
GEARBOX        25%            55%            22%            88             0.3627283500213196
GEARBOX        25%            53%            23%            100            0.37100318378307046
GEARBOX        25%            51%            24%            114            0.5072161101751197
GEARBOX        25%            49%            25%            133            0.6048638707695965
GEARBOX        25%            47%            26%            158            0.7129633521281472
GEARBOX        25%            45%            27%            189            0.8121731787954196
GEARBOX        25%            43%            28%            233            0.8931313697295963
GEARBOX        25%            41%            29%            288            0.9539208142443529
GEARBOX        25%            39%            30%            375            0.9898145019752913
GEARBOX        25%            37%            31%            503            0.9990525515365253
GEARBOX        25%            35%            32%            720            0.9999926467807884
GEARBOX        25%            33%            33%            1100           0.9999999990984194
 
 
ARETE          25%            99%            0%             15             0.013358784089852818
ARETE          25%            98%            1%             15             0.08016517506543236
ARETE          25%            97%            2%             15             0.08016517506543236
ARETE          25%            96%            3%             15             0.08016517506543236
ARETE          25%            95%            4%             15             0.08016517506543236
ARETE          25%            94%            5%             15             0.08016517506543236
ARETE          25%            93%            6%             18             0.1352820395841252
ARETE          25%            92%            7%             18             0.1352820395841252
ARETE          25%            91%            8%             18             0.1352820395841252
ARETE          25%            90%            9%             18             0.1352820395841252
ARETE          25%            89%            10%            18             0.1352820395841252
ARETE          25%            88%            11%            21             0.19165402322313185
ARETE          25%            87%            12%            21             0.19165402322313185
ARETE          25%            86%            13%            21             0.19165402322313185
ARETE          25%            85%            14%            23             0.2831845574763249
ARETE          25%            84%            15%            23             0.2831845574763249
ARETE          25%            83%            16%            23             0.2831845574763249
ARETE          25%            82%            17%            26             0.33711737309961903
ARETE          25%            81%            18%            26             0.33711737309961903
ARETE          25%            80%            19%            28             0.4278421001430713
ARETE          25%            79%            20%            28             0.4278421001430713
ARETE          25%            78%            21%            30             0.5142835899088435
ARETE          25%            77%            22%            30             0.5142835899088435
ARETE          25%            76%            23%            32             0.5935180953437046
ARETE          25%            75%            24%            32             0.5935180953437046
ARETE          25%            74%            25%            34             0.6639858325681419
ARETE          25%            73%            26%            36             0.725167002678774
ARETE          25%            72%            27%            38             0.777260074664108
ARETE          25%            71%            28%            40             0.8209101718047914
ARETE          25%            70%            29%            40             0.8209101718047914
ARETE          25%            69%            30%            43             0.8343662189429638
ARETE          25%            68%            31%            43             0.9038888337623524
ARETE          25%            67%            32%            45             0.9247449456221863
ARETE          25%            66%            33%            47             0.9413225557614192
ARETE          25%            65%            34%            51             0.9647063022446368
ARETE          25%            64%            35%            54             0.9666397829435646
ARETE          25%            63%            36%            54             0.9831433297437339
ARETE          25%            62%            37%            60             0.9925217051232551
ARETE          25%            61%            38%            61             0.9955699994733398
ARETE          25%            60%            39%            65             0.997469732421233
ARETE          25%            59%            40%            68             0.9989064913313659
ARETE          25%            58%            41%            73             0.9991825097513872
ARETE          25%            57%            42%            78             0.999739625182713
ARETE          25%            56%            43%            83             0.999919356949284
ARETE          25%            55%            44%            88             0.9999755993377408
ARETE          25%            54%            45%            93             0.9999927606672119
ARETE          25%            53%            46%            100            0.9999984283061637
ARETE          25%            52%            47%            106            0.9999997678234634
ARETE          25%            51%            48%            114            0.9999999755557408
ARETE          25%            50%            49%            122            0.9999999975145317
