Total nodes: 300             Security parameter: 30              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          216            1-2^(30)       
RapidChain     33.3%          49%            49%            154            1-2^(30)       
AHL            30%            49%            49%            123            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          75             1-2^(30)       
RIVET          33.3%          49%            49%            154            1-2^(30)       
CoChain        33.3%          66%            66%            63             0.5883704143339731
 
Beacon/Order   15%            33.3%          33.3%          96             1-2^(30)       
 
GEARBOX        15%            99%            0%             11             0.16187887936112866
GEARBOX        15%            97%            1%             11             0.4889402886825927
GEARBOX        15%            95%            2%             11             0.4889402886825927
GEARBOX        15%            93%            3%             11             0.4889402886825927
GEARBOX        15%            91%            4%             11             0.4889402886825927
GEARBOX        15%            89%            5%             13             0.3929343732589334
GEARBOX        15%            87%            6%             13             0.3929343732589334
GEARBOX        15%            85%            7%             13             0.3929343732589334
GEARBOX        15%            83%            8%             15             0.6035093384768514
GEARBOX        15%            81%            9%             15             0.6035093384768514
GEARBOX        15%            79%            10%            17             0.516525467197235
GEARBOX        15%            77%            11%            17             0.516525467197235
GEARBOX        15%            75%            12%            18             0.7236222538301543
GEARBOX        15%            73%            13%            18             0.7236222538301543
GEARBOX        15%            71%            14%            20             0.6490692923424923
GEARBOX        15%            69%            15%            22             0.7802003635272335
GEARBOX        15%            67%            16%            23             0.7497680081961061
GEARBOX        15%            65%            17%            25             0.847615287398514
GEARBOX        15%            63%            18%            26             0.8240940672388315
GEARBOX        15%            61%            19%            28             0.8954554333323117
GEARBOX        15%            59%            20%            29             0.8778750647001244
GEARBOX        15%            57%            21%            32             0.916193768546169
GEARBOX        15%            55%            22%            35             0.9431374594534403
GEARBOX        15%            53%            23%            36             0.9738264396096061
GEARBOX        15%            51%            24%            40             0.9791043374244297
GEARBOX        15%            49%            25%            43             0.9864054448528153
GEARBOX        15%            47%            26%            47             0.996452966359282
GEARBOX        15%            45%            27%            54             0.998296535442179
GEARBOX        15%            43%            28%            56             0.9991918222537565
GEARBOX        15%            41%            29%            64             0.9998773972385433
GEARBOX        15%            39%            30%            70             0.9999624851403502
GEARBOX        15%            37%            31%            79             0.9999989266424366
GEARBOX        15%            35%            32%            89             0.9999999769700821
GEARBOX        15%            33%            33%            100            0.9999999996695581
 
 
ARETE          15%            99%            0%             11             0.16187887936112866
ARETE          15%            98%            1%             11             0.4889402886825927
ARETE          15%            97%            2%             11             0.4889402886825927
ARETE          15%            96%            3%             11             0.4889402886825927
ARETE          15%            95%            4%             11             0.4889402886825927
ARETE          15%            94%            5%             11             0.4889402886825927
ARETE          15%            93%            6%             11             0.4889402886825927
ARETE          15%            92%            7%             11             0.4889402886825927
ARETE          15%            91%            8%             11             0.4889402886825927
ARETE          15%            90%            9%             13             0.6933065153260796
ARETE          15%            89%            10%            13             0.6933065153260796
ARETE          15%            88%            11%            13             0.6933065153260796
ARETE          15%            87%            12%            13             0.6933065153260796
ARETE          15%            86%            13%            13             0.6933065153260796
ARETE          15%            85%            14%            13             0.6933065153260796
ARETE          15%            84%            15%            15             0.8274777643800081
ARETE          15%            83%            16%            15             0.8274777643800081
ARETE          15%            82%            17%            15             0.8274777643800081
ARETE          15%            81%            18%            15             0.8274777643800081
ARETE          15%            80%            19%            15             0.8274777643800081
ARETE          15%            79%            20%            17             0.907435654606072
ARETE          15%            78%            21%            17             0.907435654606072
ARETE          15%            77%            22%            17             0.907435654606072
ARETE          15%            76%            23%            18             0.9630792893561693
ARETE          15%            75%            24%            18             0.9630792893561693
ARETE          15%            74%            25%            18             0.9630792893561693
ARETE          15%            73%            26%            18             0.9630792893561693
ARETE          15%            72%            27%            20             0.9819543922319499
ARETE          15%            71%            28%            20             0.9819543922319499
ARETE          15%            70%            29%            20             0.9819543922319499
ARETE          15%            69%            30%            22             0.9913918327233596
ARETE          15%            68%            31%            23             0.9971685491353736
ARETE          15%            67%            32%            23             0.9971685491353736
ARETE          15%            66%            33%            23             0.9971685491353736
ARETE          15%            65%            34%            25             0.998728934547267
ARETE          15%            64%            35%            25             0.998728934547267
ARETE          15%            63%            36%            26             0.9996268186604045
ARETE          15%            62%            37%            26             0.9996268186604045
ARETE          15%            61%            38%            28             0.9998409375078887
ARETE          15%            60%            39%            29             0.9999577486487065
ARETE          15%            59%            40%            29             0.9999577486487065
ARETE          15%            58%            41%            32             0.9999958447972196
ARETE          15%            57%            42%            32             0.9999958447972196
ARETE          15%            56%            43%            34             0.9999983922765056
ARETE          15%            55%            44%            35             0.9999996435813723
ARETE          15%            54%            45%            36             0.9999999255068861
ARETE          15%            53%            46%            36             0.9999999255068861
ARETE          15%            52%            47%            39             0.9999999948920723
ARETE          15%            51%            48%            40             0.9999999990759866
ARETE          15%            50%            49%            40             0.9999999990759866
