Total nodes: 50              Security parameter: 20              Total Byzantine ratio: 15             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          36             1-2^(20)       
RapidChain     33.3%          49%            49%            33             1-2^(20)       
AHL            30%            49%            49%            31             1-2^(20)       
Pyramid        12.5%          33.3%          33.3%          18             1-2^(20)       
RIVET          33.3%          49%            49%            33             1-2^(20)       
CoChain        33.3%          66%            66%            22             0.8824159378601154
 
Beacon/Order   15%            33.3%          33.3%          21             1-2^(20)       
 
GEARBOX        15%            99%            0%             6              0.4501167349455971
GEARBOX        15%            97%            1%             6              0.8248438394784371
GEARBOX        15%            95%            2%             6              0.8248438394784371
GEARBOX        15%            93%            3%             6              0.8248438394784371
GEARBOX        15%            91%            4%             6              0.8248438394784371
GEARBOX        15%            89%            5%             6              0.8248438394784371
GEARBOX        15%            87%            6%             6              0.8248438394784371
GEARBOX        15%            85%            7%             6              0.8248438394784371
GEARBOX        15%            83%            8%             8              0.7315974755189092
GEARBOX        15%            81%            9%             8              0.7315974755189092
GEARBOX        15%            79%            10%            8              0.7315974755189092
GEARBOX        15%            77%            11%            8              0.7315974755189092
GEARBOX        15%            75%            12%            8              0.7315974755189092
GEARBOX        15%            73%            13%            9              0.9138641581295885
GEARBOX        15%            71%            14%            9              0.9138641581295885
GEARBOX        15%            69%            15%            9              0.9138641581295885
GEARBOX        15%            67%            16%            9              0.9138641581295885
GEARBOX        15%            65%            17%            11             0.8610172305697014
GEARBOX        15%            63%            18%            12             0.9609951718139658
GEARBOX        15%            61%            19%            12             0.9609951718139658
GEARBOX        15%            59%            20%            12             0.9609951718139658
GEARBOX        15%            57%            21%            13             0.9484897858203153
GEARBOX        15%            55%            22%            13             0.9484897858203153
GEARBOX        15%            53%            23%            14             0.9891059711538166
GEARBOX        15%            51%            24%            14             0.9891059711538166
GEARBOX        15%            49%            25%            15             0.9848324477048956
GEARBOX        15%            47%            26%            15             0.9848324477048956
GEARBOX        15%            45%            27%            16             0.9978174919043624
GEARBOX        15%            43%            28%            17             0.9968077423082479
GEARBOX        15%            41%            29%            18             0.9997628961404965
GEARBOX        15%            39%            30%            18             0.9997628961404965
GEARBOX        15%            37%            31%            19             0.9996363172571678
GEARBOX        15%            35%            32%            20             1.0            
GEARBOX        15%            33%            33%            22             1.0            
 
 
ARETE          15%            99%            0%             6              0.4501167349455971
ARETE          15%            98%            1%             6              0.8248438394784371
ARETE          15%            97%            2%             6              0.8248438394784371
ARETE          15%            96%            3%             6              0.8248438394784371
ARETE          15%            95%            4%             6              0.8248438394784371
ARETE          15%            94%            5%             6              0.8248438394784371
ARETE          15%            93%            6%             6              0.8248438394784371
ARETE          15%            92%            7%             6              0.8248438394784371
ARETE          15%            91%            8%             6              0.8248438394784371
ARETE          15%            90%            9%             6              0.8248438394784371
ARETE          15%            89%            10%            6              0.8248438394784371
ARETE          15%            88%            11%            6              0.8248438394784371
ARETE          15%            87%            12%            6              0.8248438394784371
ARETE          15%            86%            13%            6              0.8248438394784371
ARETE          15%            85%            14%            6              0.8248438394784371
ARETE          15%            84%            15%            6              0.8248438394784371
ARETE          15%            83%            16%            8              0.9367863128846714
ARETE          15%            82%            17%            8              0.9367863128846714
ARETE          15%            81%            18%            8              0.9367863128846714
ARETE          15%            80%            19%            8              0.9367863128846714
ARETE          15%            79%            20%            8              0.9367863128846714
ARETE          15%            78%            21%            8              0.9367863128846714
ARETE          15%            77%            22%            8              0.9367863128846714
ARETE          15%            76%            23%            8              0.9367863128846714
ARETE          15%            75%            24%            8              0.9367863128846714
ARETE          15%            74%            25%            9              0.9871458857602179
ARETE          15%            73%            26%            9              0.9871458857602179
ARETE          15%            72%            27%            9              0.9871458857602179
ARETE          15%            71%            28%            9              0.9871458857602179
ARETE          15%            70%            29%            9              0.9871458857602179
ARETE          15%            69%            30%            9              0.9871458857602179
ARETE          15%            68%            31%            9              0.9871458857602179
ARETE          15%            67%            32%            9              0.9871458857602179
ARETE          15%            66%            33%            11             0.9968884476967002
ARETE          15%            65%            34%            11             0.9968884476967002
ARETE          15%            64%            35%            11             0.9968884476967002
ARETE          15%            63%            36%            12             0.9996905166558588
ARETE          15%            62%            37%            12             0.9996905166558588
ARETE          15%            61%            38%            12             0.9996905166558588
ARETE          15%            60%            39%            12             0.9996905166558588
ARETE          15%            59%            40%            12             0.9996905166558588
ARETE          15%            58%            41%            13             0.9999852173298379
ARETE          15%            57%            42%            13             0.9999852173298379
ARETE          15%            56%            43%            13             0.9999852173298379
ARETE          15%            55%            44%            13             0.9999852173298379
ARETE          15%            54%            45%            13             0.9999852173298379
ARETE          15%            53%            46%            14             1.0            
ARETE          15%            52%            47%            14             1.0            
ARETE          15%            51%            48%            14             1.0            
ARETE          15%            50%            49%            14             1.0            
