Total nodes: 50000           Security parameter: 30              Total Byzantine ratio: 25             
protocol       s              fS             fL             m              liveness_ratio 
OmniLedger     25%            33.3%          33.3%          1005           1-2^(30)       
RapidChain     33.3%          49%            49%            339            1-2^(30)       
AHL            30%            49%            49%            225            1-2^(30)       
Pyramid        12.5%          33.3%          33.3%          120            1-2^(30)       
RIVET          33.3%          49%            49%            339            1-2^(30)       
CoChain        33.3%          66%            66%            79             0.6383639801891186
 
Beacon/Order   25%            33.3%          33.3%          1005           1-2^(30)       
 
GEARBOX        25%            99%            0%             15             0.013354107751731516
GEARBOX        25%            97%            1%             15             0.0801495834879973
GEARBOX        25%            95%            2%             15             0.0801495834879973
GEARBOX        25%            93%            3%             18             0.039439052999259684
GEARBOX        25%            91%            4%             18             0.039439052999259684
GEARBOX        25%            89%            5%             18             0.039439052999259684
GEARBOX        25%            87%            6%             21             0.07448130133790716
GEARBOX        25%            85%            7%             23             0.049166479125768756
GEARBOX        25%            83%            8%             23             0.049166479125768756
GEARBOX        25%            81%            9%             26             0.08013351271107923
GEARBOX        25%            79%            10%            28             0.055087415021833626
GEARBOX        25%            77%            11%            30             0.09780151663069728
GEARBOX        25%            75%            12%            32             0.06969494991867173
GEARBOX        25%            73%            13%            36             0.0833901083992627
GEARBOX        25%            71%            14%            40             0.09613456029986592
GEARBOX        25%            69%            15%            43             0.12358767232687294
GEARBOX        25%            67%            16%            45             0.17241449055632158
GEARBOX        25%            65%            17%            51             0.14553351395544134
GEARBOX        25%            63%            18%            54             0.17339647739951486
GEARBOX        25%            61%            19%            61             0.2104101210995684
GEARBOX        25%            59%            20%            68             0.2456787640626703
GEARBOX        25%            57%            21%            78             0.3061104295866399
GEARBOX        25%            55%            22%            88             0.3626574101546735
GEARBOX        25%            53%            23%            100            0.3709269362158785
GEARBOX        25%            51%            24%            114            0.5072037632836253
GEARBOX        25%            49%            25%            133            0.6049156577456611
GEARBOX        25%            47%            26%            158            0.7131012105492945
GEARBOX        25%            45%            27%            189            0.8123908202668688
GEARBOX        25%            43%            28%            233            0.8933964842009307
GEARBOX        25%            41%            29%            288            0.9541582723574779
GEARBOX        25%            39%            30%            372            0.9893890254818246
GEARBOX        25%            37%            31%            500            0.9990273892739661
GEARBOX        25%            35%            32%            712            0.9999910556163772
GEARBOX        25%            33%            33%            1088           0.9999999994034157
 
 
ARETE          25%            99%            0%             15             0.013354107751731516
ARETE          25%            98%            1%             15             0.0801495834879973
ARETE          25%            97%            2%             15             0.0801495834879973
ARETE          25%            96%            3%             15             0.0801495834879973
ARETE          25%            95%            4%             15             0.0801495834879973
ARETE          25%            94%            5%             15             0.0801495834879973
ARETE          25%            93%            6%             18             0.13525903386723223
ARETE          25%            92%            7%             18             0.13525903386723223
ARETE          25%            91%            8%             18             0.13525903386723223
ARETE          25%            90%            9%             18             0.13525903386723223
ARETE          25%            89%            10%            18             0.13525903386723223
ARETE          25%            88%            11%            21             0.1916258974565008
ARETE          25%            87%            12%            21             0.1916258974565008
ARETE          25%            86%            13%            21             0.1916258974565008
ARETE          25%            85%            14%            23             0.2831567583424937
ARETE          25%            84%            15%            23             0.2831567583424937
ARETE          25%            83%            16%            23             0.2831567583424937
ARETE          25%            82%            17%            26             0.3370906233478287
ARETE          25%            81%            18%            26             0.3370906233478287
ARETE          25%            80%            19%            28             0.427824043187281
ARETE          25%            79%            20%            28             0.427824043187281
ARETE          25%            78%            21%            30             0.5142772151186085
ARETE          25%            77%            22%            30             0.5142772151186085
ARETE          25%            76%            23%            32             0.5935245436045391
ARETE          25%            75%            24%            32             0.5935245436045391
ARETE          25%            74%            25%            34             0.66400467034724
ARETE          25%            73%            26%            36             0.7251966712415471
ARETE          25%            72%            27%            38             0.7772983600111234
ARETE          25%            71%            28%            40             0.820954608322448
ARETE          25%            70%            29%            40             0.820954608322448
ARETE          25%            69%            30%            43             0.8344149236680917
ARETE          25%            68%            31%            43             0.9039359034393717
ARETE          25%            67%            32%            45             0.9247908511610222
ARETE          25%            66%            33%            47             0.941366165110009
ARETE          25%            65%            34%            51             0.96474331433482
ARETE          25%            64%            35%            54             0.9666777685522765
ARETE          25%            63%            36%            54             0.9831685858704852
ARETE          25%            62%            37%            60             0.9925378052471301
ARETE          25%            61%            38%            61             0.9955811542994698
ARETE          25%            60%            39%            65             0.9974774745598928
ARETE          25%            59%            40%            68             0.9989106510736906
ARETE          25%            58%            41%            73             0.999186026611325
ARETE          25%            57%            42%            78             0.9997410714007289
ARETE          25%            56%            43%            83             0.9999199188279496
ARETE          25%            55%            44%            88             0.9999758077429003
ARETE          25%            54%            45%            93             0.999992835046288
ARETE          25%            53%            46%            100            0.9999984483284369
ARETE          25%            52%            47%            106            0.9999997714864395
ARETE          25%            51%            48%            114            0.9999999760408977
ARETE          25%            50%            49%            122            0.9999999975751126
