Total nodes: 10000   Security parameter: 60
protocol	 s	 fS	 fL	 m	 liveness_ratio
OmniLedger	 25%	 33.3%	 33.3%	 1782 	 1-2^(60)
RapidChain	 33.3%	 49%	 49%	 680 	 1-2^(60)
AHL		 30%	 49%	 49%	 462 	 1-2^(60)
Pyramid		 12.5%	 33.3%	 33.3%	 252 	 1-2^(60)
RIVET		 33.3%	 49%	 49%	 680 	 1-2^(60)
 
GEARBOX		 25%	 99%	 0%	 30 	 0.00017600546193680683
GEARBOX		 25%	 97%	 1%	 30 	 0.0019428920427506887
GEARBOX		 25%	 95%	 2%	 34 	 0.0006867221278391312
GEARBOX		 25%	 93%	 3%	 37 	 0.0020531393586814026
GEARBOX		 25%	 91%	 4%	 39 	 0.0012713863883412387
GEARBOX		 25%	 89%	 5%	 42 	 0.0029860689070717555
GEARBOX		 25%	 87%	 6%	 44 	 0.0019122239890987476
GEARBOX		 25%	 85%	 7%	 49 	 0.0025549902730668183
GEARBOX		 25%	 83%	 8%	 51 	 0.005717692920591461
GEARBOX		 25%	 81%	 9%	 56 	 0.006537813001185644
GEARBOX		 25%	 79%	 10%	 60 	 0.003077694394416569
GEARBOX		 25%	 77%	 11%	 64 	 0.010928936751903895
GEARBOX		 25%	 75%	 12%	 68 	 0.013418421768097247
GEARBOX		 25%	 73%	 13%	 74 	 0.01182636565866913
GEARBOX		 25%	 71%	 14%	 82 	 0.016376023109305804
GEARBOX		 25%	 69%	 15%	 87 	 0.031448340823518606
GEARBOX		 25%	 67%	 16%	 99 	 0.02339140126748103
GEARBOX		 25%	 65%	 17%	 108 	 0.043144926068484996
GEARBOX		 25%	 63%	 18%	 116 	 0.04933989479879594
GEARBOX		 25%	 61%	 19%	 130 	 0.07393213541923412
GEARBOX		 25%	 59%	 20%	 146 	 0.12275144884740996
GEARBOX		 25%	 57%	 21%	 164 	 0.15856558332395934
GEARBOX		 25%	 55%	 22%	 182 	 0.2471090136083679
GEARBOX		 25%	 53%	 23%	 210 	 0.3180661597370597
GEARBOX		 25%	 51%	 24%	 242 	 0.4449093492596162
GEARBOX		 25%	 49%	 25%	 278 	 0.5601224493658106
GEARBOX		 25%	 47%	 26%	 326 	 0.7010659237026012
GEARBOX		 25%	 45%	 27%	 389 	 0.8649884212333592
GEARBOX		 25%	 43%	 28%	 470 	 0.9478125315856969
GEARBOX		 25%	 41%	 29%	 583 	 0.9919502050014702
GEARBOX		 25%	 39%	 30%	 744 	 0.9995649340989694
GEARBOX		 25%	 37%	 31%	 973 	 0.9999969567646046
GEARBOX		 25%	 35%	 32%	 1326 	 0.9999999998041
GEARBOX		 25%	 33%	 33%	 1900 	 1.0
 
GEARBOX		 30%	 99%	 0%	 35 	 3.6925455657795886e-06
GEARBOX		 30%	 97%	 1%	 39 	 1.568711305517752e-05
GEARBOX		 30%	 95%	 2%	 39 	 1.568711305517752e-05
GEARBOX		 30%	 93%	 3%	 42 	 5.3825978027235696e-05
GEARBOX		 30%	 91%	 4%	 48 	 8.097979170260494e-06
GEARBOX		 30%	 89%	 5%	 51 	 2.303569386115622e-05
GEARBOX		 30%	 87%	 6%	 53 	 7.157826644382962e-05
GEARBOX		 30%	 85%	 7%	 58 	 8.328080183236488e-05
GEARBOX		 30%	 83%	 8%	 63 	 9.147539533388116e-05
GEARBOX		 30%	 81%	 9%	 68 	 9.636950266396746e-05
GEARBOX		 30%	 79%	 10%	 75 	 5.9658680818209064e-05
GEARBOX		 30%	 77%	 11%	 81 	 4.7081746900372075e-05
GEARBOX		 30%	 75%	 12%	 88 	 9.23148681781172e-05
GEARBOX		 30%	 73%	 13%	 96 	 0.0001286665263363226
GEARBOX		 30%	 71%	 14%	 106 	 0.00010959369106760774
GEARBOX		 30%	 69%	 15%	 116 	 0.00022612100892590475
GEARBOX		 30%	 67%	 16%	 130 	 0.00019322767213888204
GEARBOX		 30%	 65%	 17%	 145 	 0.0002905040942057543
GEARBOX		 30%	 63%	 18%	 162 	 0.0005663058959251354
GEARBOX		 30%	 61%	 19%	 182 	 0.0006098691943670365
GEARBOX		 30%	 59%	 20%	 207 	 0.0009629911729424392
GEARBOX		 30%	 57%	 21%	 237 	 0.0011793013357834301
GEARBOX		 30%	 55%	 22%	 277 	 0.0016178860753066427
GEARBOX		 30%	 53%	 23%	 321 	 0.0029317453128130918
GEARBOX		 30%	 51%	 24%	 383 	 0.004789254868826154
GEARBOX		 30%	 49%	 25%	 462 	 0.009974125128512456
GEARBOX		 30%	 47%	 26%	 564 	 0.019120397404576706
GEARBOX		 30%	 45%	 27%	 709 	 0.04203023030372902
GEARBOX		 30%	 43%	 28%	 914 	 0.08951251129717439
GEARBOX		 30%	 41%	 29%	 1222 	 0.23024745484993112
GEARBOX		 30%	 39%	 30%	 1713 	 0.5148712558307555
GEARBOX		 30%	 37%	 31%	 2519 	 0.9024827168045781
GEARBOX		 30%	 35%	 32%	 3940 	 0.9998027520756605
GEARBOX		 30%	 33%	 33%	 6376 	 1.0
 
ARETE		 25%	 99%	 0%	 30 	 0.00017600546193680683
ARETE		 25%	 98%	 1%	 30 	 0.0019428920427506887
ARETE		 25%	 97%	 2%	 30 	 0.0019428920427506887
ARETE		 25%	 96%	 3%	 34 	 0.004172174004174734
ARETE		 25%	 95%	 4%	 34 	 0.004172174004174734
ARETE		 25%	 94%	 5%	 37 	 0.0020531393586814026
ARETE		 25%	 93%	 6%	 37 	 0.008848746096228733
ARETE		 25%	 92%	 7%	 37 	 0.008848746096228733
ARETE		 25%	 91%	 8%	 39 	 0.019271696975052238
ARETE		 25%	 90%	 9%	 39 	 0.019271696975052238
ARETE		 25%	 89%	 10%	 42 	 0.030394671836654615
ARETE		 25%	 88%	 11%	 44 	 0.021286325942022895
ARETE		 25%	 87%	 12%	 44 	 0.051939456588958724
ARETE		 25%	 86%	 13%	 47 	 0.07033158203355976
ARETE		 25%	 85%	 14%	 49 	 0.05225519374011886
ARETE		 25%	 84%	 15%	 49 	 0.10400462184032655
ARETE		 25%	 83%	 16%	 51 	 0.14501758256239103
ARETE		 25%	 82%	 17%	 54 	 0.17284101533885235
ARETE		 25%	 81%	 18%	 56 	 0.22275965267343148
ARETE		 25%	 80%	 19%	 58 	 0.27707724436355124
ARETE		 25%	 79%	 20%	 60 	 0.2308162441616107
ARETE		 25%	 78%	 21%	 62 	 0.39307134661042364
ARETE		 25%	 77%	 22%	 64 	 0.451855117531454
ARETE		 25%	 76%	 23%	 66 	 0.5094412884311057
ARETE		 25%	 75%	 24%	 68 	 0.5647832765578624
ARETE		 25%	 74%	 25%	 72 	 0.5629896160066125
ARETE		 25%	 73%	 26%	 74 	 0.7103067313437941
ARETE		 25%	 72%	 27%	 78 	 0.7869001710918433
ARETE		 25%	 71%	 28%	 82 	 0.7813612580480847
ARETE		 25%	 70%	 29%	 86 	 0.8415991842090278
ARETE		 25%	 69%	 30%	 87 	 0.9210319079419105
ARETE		 25%	 68%	 31%	 93 	 0.9309337721215323
ARETE		 25%	 67%	 32%	 99 	 0.9617662022734915
ARETE		 25%	 66%	 33%	 100 	 0.9730311164652956
ARETE		 25%	 65%	 34%	 108 	 0.9886668519730606
ARETE		 25%	 64%	 35%	 111 	 0.9939183137788916
ARETE		 25%	 63%	 36%	 116 	 0.9975043308424202
ARETE		 25%	 62%	 37%	 123 	 0.9992351820189365
ARETE		 25%	 61%	 38%	 130 	 0.9997776524569046
ARETE		 25%	 60%	 39%	 137 	 0.9999382194982706
ARETE		 25%	 59%	 40%	 146 	 0.9999874290085241
ARETE		 25%	 58%	 41%	 154 	 0.9999981287981747
ARETE		 25%	 57%	 42%	 164 	 0.9999995416139902
ARETE		 25%	 56%	 43%	 174 	 0.9999999534682518
ARETE		 25%	 55%	 44%	 182 	 0.9999999976405234
ARETE		 25%	 54%	 45%	 197 	 0.9999999998406514
ARETE		 25%	 53%	 46%	 210 	 0.9999999999947813
ARETE		 25%	 52%	 47%	 225 	 0.9999999999998834
ARETE		 25%	 51%	 48%	 242 	 0.9999999999999994
ARETE		 25%	 50%	 49%	 256 	 1.0
 
ARETE		 30%	 99%	 0%	 35 	 3.6925455657795886e-06
ARETE		 30%	 98%	 1%	 35 	 5.9351070459098105e-05
ARETE		 30%	 97%	 2%	 39 	 1.568711305517752e-05
ARETE		 30%	 96%	 3%	 39 	 0.00013685121988753614
ARETE		 30%	 95%	 4%	 39 	 0.00013685121988753614
ARETE		 30%	 94%	 5%	 42 	 0.0003299356989861232
ARETE		 30%	 93%	 6%	 42 	 0.0003299356989861232
ARETE		 30%	 92%	 7%	 45 	 0.0006646316907244782
ARETE		 30%	 91%	 8%	 48 	 0.00029171964256095216
ARETE		 30%	 90%	 9%	 48 	 0.0011827303941994995
ARETE		 30%	 89%	 10%	 51 	 0.0019220669205204162
ARETE		 30%	 88%	 11%	 53 	 0.0011794142581030129
ARETE		 30%	 87%	 12%	 53 	 0.0036616216118737902
ARETE		 30%	 86%	 13%	 56 	 0.005198626265769816
ARETE		 30%	 85%	 14%	 58 	 0.00866907029885228
ARETE		 30%	 84%	 15%	 61 	 0.011281123103377927
ARETE		 30%	 83%	 16%	 63 	 0.01712868463800828
ARETE		 30%	 82%	 17%	 65 	 0.024922798429070175
ARETE		 30%	 81%	 18%	 68 	 0.02973748816858282
ARETE		 30%	 80%	 19%	 70 	 0.04074567825406845
ARETE		 30%	 79%	 20%	 75 	 0.03477452535038293
ARETE		 30%	 78%	 21%	 77 	 0.07826067272201541
ARETE		 30%	 77%	 22%	 81 	 0.07620387186951118
ARETE		 30%	 76%	 23%	 83 	 0.14439752864893016
ARETE		 30%	 75%	 24%	 88 	 0.181769017933961
ARETE		 30%	 74%	 25%	 92 	 0.1748023323652474
ARETE		 30%	 73%	 26%	 96 	 0.2322243254519211
ARETE		 30%	 72%	 27%	 100 	 0.295346506340149
ARETE		 30%	 71%	 28%	 106 	 0.39594743857754056
ARETE		 30%	 70%	 29%	 110 	 0.4637658204892881
ARETE		 30%	 69%	 30%	 116 	 0.5618240598830988
ARETE		 30%	 68%	 31%	 124 	 0.6784980653225134
ARETE		 30%	 67%	 32%	 130 	 0.7520357795691534
ARETE		 30%	 66%	 33%	 138 	 0.8302647563240293
ARETE		 30%	 65%	 34%	 145 	 0.8981897002647093
ARETE		 30%	 64%	 35%	 155 	 0.9423263673992713
ARETE		 30%	 63%	 36%	 162 	 0.9685234604013723
ARETE		 30%	 62%	 37%	 171 	 0.9855744154752832
ARETE		 30%	 61%	 38%	 182 	 0.9945403918862289
ARETE		 30%	 60%	 39%	 195 	 0.9983164962400847
ARETE		 30%	 59%	 40%	 207 	 0.9993180111088251
ARETE		 30%	 58%	 41%	 223 	 0.9998849725145756
ARETE		 30%	 57%	 42%	 237 	 0.9999791504129424
ARETE		 30%	 56%	 43%	 258 	 0.9999973482989424
ARETE		 30%	 55%	 44%	 277 	 0.9999998023816334
ARETE		 30%	 54%	 45%	 299 	 0.9999999928179025
ARETE		 30%	 53%	 46%	 321 	 0.9999999997709286
ARETE		 30%	 52%	 47%	 350 	 0.9999999999976968
